Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment	WH ID_NEW	WH Comment_NEW
367	Spectrogram 1	1	30917.242	30925.1041	7.862	1.242	78.8	744.6	DS3B__0__20181119_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181119_060355.wav	X	bark	very faint. It's a series but only faint pixels are visible	RS	3	series	No		very faint				
369	Spectrogram 1	1	31288.39	31289.6968	1.307	110.39	286.4	708.8	DS3B__0__20181119_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181119_080355.wav	X			RS	3	1	No			RS			
376	Spectrogram 1	1	31597.445	31610.9412	13.496	157.445	78.8	1066.8	DS3B__0__20181119_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181119_100355.wav	X			RS	3	4	No			RS			
379	Spectrogram 1	1	31739.086	31740.1571	1.071	37.086	85.9	873.5	DS3B__0__20181119_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181119_160355.wav	Y	bark	faint	RS	3	2	No						
380	Spectrogram 1	1	31749.765	31761.4831	11.718	47.765	114.6	1066.8	DS3B__0__20181119_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181119_160355.wav	X		faint	RS	3	series	No		faint				
381	Spectrogram 1	1	31729.168	31733.0883	3.92	27.168	64.4	988.1	DS3B__0__20181119_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181119_160355.wav	X	"bark, yelp"	faint and masked by BS	RS	2	4	No		"1x yelp,1 bark in the beginning; are the later signals RS?"				
382	Spectrogram 1	1	31843.849	31845.1987	1.35	141.849	572.8	1109.8	DS3B__0__20181119_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181119_160355.wav	X	yelp	yelp	RS	2	1	No		yelp	RS			
385	Spectrogram 1	1	32190.02	32203.4519	13.432	226.02	57.3	1389	DS3B__0__20181119_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181119_220355.wav	Y	"bark, yelp"	good one	RS	3	series	No		"good, barks-yelps"				
387	Spectrogram 1	1	32318.446	32328.3432	9.897	92.446	200.5	1267.3	DS3B__0__20181120_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181120_020355.wav	Y	"bark, yelp"	"3xbarks, 4xyelps"""	RS	3	series	No		"3xbarks, 4xyelps"				
389	Spectrogram 1	1	32547.84	32548.6326	0.793	59.84	121.7	966.6	DS3B__0__20181120_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181120_100355.wav	Y	bark		RS	2	1	No						
391	Spectrogram 1	1	32766.345	32767.8446	1.5	16.345	293.6	859.2	DS3B__0__20181120_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181120_140355.wav	X			RS	3	1	No			RS			
392	Spectrogram 1	1	32888.434	32893.6611	5.227	138.434	107.4	937.9	DS3B__0__20181120_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181120_140355.wav	X	"yelp, growl"		RS	2	2	No					X	"Yelp, and some growls"
399	Spectrogram 1	1	32754.97	32756.6196	1.65	4.97	264.9	887.8	DS3B__0__20181120_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181120_140355.wav	X			RS	3	1	No			RS			
414	Spectrogram 1	1	33059.608	33072.9756	13.368	47.608	486.9	1317.4	DS3B__0__20181121_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181121_040355.wav	X	yelp	yelps	RS	3	series	No		yelps				
416	Spectrogram 1	1	33302.423	33315.7264	13.303	28.423	150.4	1546.5	DS3B__0__20181121_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181121_060355.wav	Y	"bark, yelp"	barks-yelps	RS	3	series	No		barks-yelps				
423	Spectrogram 1	1	33785.606	33786.3987	0.793	249.606	186.2	844.9	DS3B__0__20181121_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181121_140355.wav	X			RS	3	1	No						
424	Spectrogram 1	1	33788.648	33789.6335	0.986	252.648	35.8	880.7	DS3B__0__20181121_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181121_140355.wav	X			RS	3	1	No						
427	Spectrogram 1	1	33890.387	33891.3082	0.921	92.387	93.1	966.6	DS3B__0__20181121_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181121_160355.wav	X		2faint	RS	3	1	No		2faint	RS			
433	Spectrogram 1	1	34173.924	34174.9951	1.071	113.924	78.8	1088.3	DS3B__0__20181121_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181121_220355.wav	Y	bark	faint	RS	2	1							
434	Spectrogram 1	1	34232.247	34233.6395	1.392	172.247	71.6	1145.6	DS3B__0__20181121_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181121_220355.wav	Y	bark		RS	3	2	No						
435	Spectrogram 1	1	34566.571	34568.5205	1.949	244.571	300.7	895	DS3B__0__20181122_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181122_000355.wav	X	yelp	yelps	RS	3	2	No		yelps				
438	Spectrogram 1	1	34814.557	34815.4782	0.921	230.557	21.5	1102.6	DS3B__0__20181122_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181122_020355.wav	Y	bark	very faint	RS	2	1	No						
439	Spectrogram 1	1	34664.522	34665.8502	1.328	80.522	57.3	1310.3	DS3B__0__20181122_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181122_020355.wav	Y	bark	bark	RS	2	1	No		bark				
440	Spectrogram 1	1	35008.346	35009.2886	0.943	162.346	402.2	771.4	DS3B__0__20181122_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181122_100355.wav	X			RS	2	1	No						
441	Spectrogram 1	1	35273.196	35273.9458	0.75	165.196	118.7	745.1	DS3B__0__20181122_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181122_140355.wav	Y	bark		RS	3	1	No						
456	Spectrogram 1	1	35405.766	35406.473	0.707	35.766	692.3	1186.8	DS3B__0__20181122_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181122_180355.wav	X	yelp	yelp	RS	3	1	No		yelp				
457	Spectrogram 1	1	35499.981	35511.6348	11.654	129.981	131.9	1371.4	DS3B__0__20181122_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181122_180355.wav	Y	"bark, yelp"		RS	3	series	No						
458	Spectrogram 1	1	35751.761	35752.6393	0.878	119.761	738.5	1206.6	DS3B__0__20181123_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181123_020355.wav	X	yelp	1x yelp	RS	3	1	No		1x yelp				
459	Spectrogram 1	1	35735.726	35739.6035	3.877	103.726	883.5	1358.2	DS3B__0__20181123_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181123_020355.wav	X	yelp	"3x yelp, good"	RS	3	3	No		"3x yelp, good"				
477	Spectrogram 1	1	35907.818	35909.0605	1.243	13.818	593.4	1562.6	DS3B__0__20181123_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181123_080355.wav	X	chirp	1x chirp	RS	3	1	No		1x chirp				
482	Spectrogram 1	1	36269.259	36270.5803	1.321	113.259	224.2	857.1	DS3B__0__20181123_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181123_120355.wav	X			RS	3	2	No				"First is RS, second is BS"		
483	Spectrogram 1	1	36359.716	36361.4726	1.757	203.716	65.9	474.7	DS3B__0__20181123_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181123_120355.wav	X	bark	pixel	RS	1	1	No		"so faint, hard to ID"	RS			
484	Spectrogram 1	1	36368.37	36369.6768	1.307	212.37	92.3	764.8	DS3B__0__20181123_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181123_120355.wav	X	bark	pixel	RS	3	1	No						
492	Spectrogram 1	1	36646.694	36650.6786	3.985	228.694	112.1	679.1	DS3B__0__20181123_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181123_220355.wav	Y	bark		RS	3	4	No						
502	Spectrogram 1	1	36815.323	36831.3724	16.049	135.323	349.5	1186.8	DS3B__0__20181124_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181124_080355.wav	X			RS	3	4	No			RS			
508	Spectrogram 1	1	37008.705	37009.4762	0.771	66.705	82.4	840.7	DS3B__0__20181124_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181124_140355.wav	Y	bark	faint	RS	2	1	No						
509	Spectrogram 1	1	37145.646	37152.7368	7.091	203.646	52.7	323.1	DS3B__0__20181124_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181124_140355.wav	X	grunt	I think they are barks but only showing as pixels and with ice noise in the background	RS	3	series	No		grunts				
512	Spectrogram 1	1	37371.812	37373.6972	1.885	167.812	62.4	1903.7	DS3B__0__20181124_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181124_180355.wav	Y	"bark, yelp"	good bark	RS	3	2	No		"good, yelp-bark"				
513	Spectrogram 1	1	37630.046	37631.1385	1.092	164.046	82.1	600.7	DS3B__0__20181124_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181124_220355.wav	X		faint	RS	3	1	No		faint				
514	Spectrogram 1	1	37734.362	37751.4143	17.052	6.362	124.7	932.2	DS3B__0__20181125_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181125_000355.wav	Y	bark		RS	3	series	No						
515	Spectrogram 1	1	38131.928	38137.5836	5.656	141.928	65.6	919	DS3B__0__20181125_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181125_060355.wav	Y	bark		RS	2	5	No						
516	Spectrogram 1	1	38028.244	38046.0889	17.845	38.244	85.3	1207.9	DS3B__0__20181125_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181125_060355.wav	Y	"bark, yelp"	good series	RS	3	series	No		"good, yelps-barks"				
518	Spectrogram 1	1	38277.053	38277.9956	0.943	25.053	288.8	715.5	DS3B__0__20181125_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181125_140355.wav	X	yelp	faint yelp	RS	2	1	No		faint yelp				
521	Spectrogram 1	1	38632.246	38633.2957	1.05	118.246	52.5	846.8	DS3B__0__20181125_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181125_160355.wav	Y	bark	background noise (I think rain)	RS	3	2	No						
522	Spectrogram 1	1	38768.827	38773.78	4.953	254.827	85.3	754.9	DS3B__0__20181125_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181125_160355.wav	Y	bark	background noise (I think rain)	RS	3	3	No						
524	Spectrogram 1	1	38865.313	38866.4484	1.135	89.313	111.6	827.1	DS3B__0__20181125_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181125_200355.wav	X		masked by wind/rain	RS	1	1	No		masked by wind/rain		Wind - no rain at this time of year		
527	Spectrogram 1	1	39088.562	39090.233	1.671	50.562	610.5	1214.4	DS3B__0__20181126_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181126_040355.wav	X		high ambient	RS	1	1	No		high ambient	RS			
528	Spectrogram 1	1	39166.367	39167.5667	1.2	128.367	709	1188.2	DS3B__0__20181126_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181126_040355.wav	X	yelp	"high ambient, 1x yelp"	RS	2	1	No		"high ambient, 1x yelp"				
530	Spectrogram 1	1	39376.785	39378.0704	1.285	76.785	91.9	932.2	DS3B__0__20181126_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181126_080355.wav	Y	bark	quite close. Background noise (I think rain)	RS	3	1	No						
532	Spectrogram 1	1	39760.608	39766.3706	5.763	198.608	59.1	505.5	DS3B__0__20181126_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181126_120355.wav	Y	bark	very faint	RS	2	series	No		very faint				
534	Spectrogram 1	1	39945.96	39949.5804	3.62	121.96	380.7	1135.7	DS3B__0__20181126_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181126_220355.wav	X			RS	3	2	No						
535	Spectrogram 1	1	40158.935	40164.8691	5.934	72.935	85.3	2199.1	DS3B__0__20181127_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181127_020355.wav	Y	"bark, yelp"	Great series	RS	3	series	No		"really good, barks-yelps"				
548	Spectrogram 1	1	40379.447	40380.2611	0.814	31.447	98.5	1765.9	DS3B__0__20181127_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181127_120355.wav	Y	bark		RS	2	1	No						
549	Spectrogram 1	1	40849.428	40871.5974	22.169	239.428	118.2	1726.5	DS3B__0__20181127_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181127_180355.wav	Y	"bark, yelp"		RS	3	series	No		some ice noise in between				
550	Spectrogram 1	1	41124.608	41127.2858	2.678	252.608	492.3	2553.6	DS3B__0__20181127_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181127_200355.wav	X	yelp		RS	3	2	No						
552	Spectrogram 1	1	41142.119	41145.718	3.599	8.119	65.6	2343.5	DS3B__0__20181127_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181127_220355.wav	Y	bark	I'm wondering the same thing as Annika: are the two last signals ice?	RS	3	03-Jan	No		is only the 1st signakl a RS? rest ice?	RS			
553	Spectrogram 1	1	41484.279	41498.5035	14.224	88.279	59.1	1161.9	DS3B__0__20181128_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181128_100355.wav	Y	"bark, yelp"	Good series	RS	3	series	No		barks-yelps				
554	Spectrogram 1	1	41442.815	41450.6556	7.841	46.815	105	748.4	DS3B__0__20181128_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181128_100355.wav	y	bark	very faint	RS	3	series	No		very faint				
555	Spectrogram 1	1	41463.055	41472.6094	9.554	67.055	65.6	1109.4	DS3B__0__20181128_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181128_100355.wav	Y	"bark, yelp"	Good series	RS	3	series	No		barks-yelps				
556	Spectrogram 1	1	41753.632	41764.2576	10.626	95.632	65.6	794.3	DS3B__0__20181128_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181128_180355.wav	Y	"bark, yelp"	faint	RS	3	series	No		faint				
557	Spectrogram 1	1	41860.272	41862.1357	1.864	202.272	223.2	735.2	DS3B__0__20181128_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181128_180355.wav	Y	"bark, yelp"	faint	RS	3	2	No		faint			Y	"bark, yelp"
558	Spectrogram 1	1	41709.03	41725.8467	16.817	51.03	111.6	1024.1	DS3B__0__20181128_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181128_180355.wav	Y	"bark, yelp"		RS	3	series	No		barks-yelps				
561	Spectrogram 1	1	42122.876	42133.9086	11.033	202.876	124.7	1181.6	DS3B__0__20181129_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181129_120355.wav	Y	bark	close	RS	3	3	No		good				
564	Spectrogram 1	1	42355.42	42356.2126	0.793	173.42	111.6	932.2	DS3B__0__20181130_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181130_220355.wav	Y	bark	with rain noise	RS	2	1	No						
565	Spectrogram 1	1	42625.645	42626.7376	1.093	181.645	78.8	938.7	DS3B__0__20181201_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181201_200355.wav	Y	bark	faint	RS	3	1	No						
566	Spectrogram 1	1	42470.639	42481.5002	10.861	26.639	118.2	1733	DS3B__0__20181201_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181201_200355.wav	Y	"bark, yelp"	The barks are really faint though	RS	3	series	No		barks-yelps				
567	Spectrogram 1	1	42630.186	42631.6427	1.457	186.186	203.5	676.1	DS3B__0__20181201_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181201_200355.wav	X			RS	3	2	No						
575	Spectrogram 1	1	42826.343	42827.3294	0.986	120.343	1112.7	1460.6	DS3B__0__20181202_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181202_060355.wav	X			RS	2	1	No						
578	Spectrogram 1	1	42979.088	42990.2705	11.182	11.088	91.9	1332.6	DS3B__0__20181202_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181202_120355.wav	Y	"bark, yelp"	high ambient	RS	3	series	No		high ambient				
579	Spectrogram 1	1	42968.3	42972.7987	4.499	0.3	111.6	1234.1	DS3B__0__20181202_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181202_120355.wav	Y	"bark, yelp"	high ambient	RS	3	series	No		high ambient				
580	Spectrogram 1	1	43457.05	43457.9926	0.943	227.05	413.6	860	DS3B__0__20181202_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181202_160355.wav	Y	bark		RS	3	1	No						
581	Spectrogram 1	1	43745.91	43746.8097	0.9	253.91	91.9	951.9	DS3B__0__20181203_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181203_120355.wav	X			RS	3	1	No						
583	Spectrogram 1	1	43895.061	43895.7894	0.728	141.061	65.6	1975.9	DS3B__0__20181203_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181203_160355.wav	Y	bark		RS	2	1	No		sounds different to all othr ice sounds in this file	RS			
594	Spectrogram 1	1	44038.327	44039.2054	0.878	22.327	269.1	1444.2	DS3B__0__20181204_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181204_100355.wav	Y	bark		RS	2	1	No						
595	Spectrogram 1	1	44452.156	44454.9195	2.764	174.156	137.9	774.6	DS3B__0__20181204_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181204_140355.wav	Y	bark		RS	3	2	No						
596	Spectrogram 1	1	44782.271	44783.0208	0.75	242.271	59.1	912.5	DS3B__0__20181204_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181204_160355.wav	Y	bark		RS	2	1	No						
597	Spectrogram 1	1	44840.455	44841.3975	0.942	38.455	341.4	873.1	DS3B__0__20181204_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181204_220355.wav	Y	bark		RS	2	1	No					Y	bark
598	Spectrogram 1	1	45119.97	45120.934	0.964	55.97	768.1	1221	DS3B__0__20181205_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181205_020355.wav	X			RS	2	1	No						
599	Spectrogram 1	1	45410.455	45415.7892	5.334	84.455	59.1	1516.4	DS3B__0__20181205_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181205_060355.wav	Y	"bark, yelp"	good	RS	3	series	No		"good, barks-yelps"				
600	Spectrogram 1	1	45784.415	45801.5556	17.141	196.415	85.3	951.9	DS3B__0__20181205_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181205_100355.wav	Y	"bark, yelp"	The only clear bark for me is at the very end	RS	3	series	No						
602	Spectrogram 1	1	45882.777	45883.5911	0.814	32.777	118.2	735.2	DS3B__0__20181205_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181205_180355.wav	Y	bark	faint	RS	2	1	No						
603	Spectrogram 1	1	46240.058	46241.0542	0.996	128.058	39.4	905.9	DS3B__0__20181206_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181206_040355.wav	Y	bark		RS	3	1	No						
604	Spectrogram 1	1	46546.653	46547.7242	1.071	172.653	439.8	991.2	DS3B__0__20181206_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181206_060355.wav	X	yelp	yelp	RS	3	1	No		yelp				
605	Spectrogram 1	1	46507.875	46511.1741	3.299	133.875	380.7	879.6	DS3B__0__20181206_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181206_060355.wav	X	yelp	2x yelps	RS	3	2	No		2x yelps				
606	Spectrogram 1	1	46489.233	46492.2965	3.063	115.233	282.3	840.3	DS3B__0__20181206_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181206_060355.wav	X		super faint	RS	2	series	No		super faint				
607	Spectrogram 1	1	46716.437	46717.3796	0.943	80.437	282.3	1122.5	DS3B__0__20181206_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181206_080355.wav	Y	"bark, yelp"	faint	RS	3	2	No		yelp-bark				
608	Spectrogram 1	1	47062.52	47063.5269	1.007	164.52	118.2	807.4	DS3B__0__20181206_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181206_120355.wav	Y	bark		RS	3	2	No						
612	Spectrogram 1	1	47245.585	47246.3348	0.75	85.585	105	958.4	DS3B__0__20181206_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181206_200355.wav	Y	bark		RS	3	1	No						
614	Spectrogram 1	1	47457.507	47458.4281	0.921	35.507	291.6	596.1	DS3B__0__20181207_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181207_060355.wav	X			RS	3	1	No						
615	Spectrogram 1	1	47831.542	47833.2558	1.714	147.542	81	592.9	DS3B__0__20181207_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181207_120355.wav	X			RS	2	02-Jan	No						
616	Spectrogram 1	1	48079.948	48080.912	0.964	133.948	84.2	861.8	DS3B__0__20181207_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181207_180355.wav	X			RS	3	1	No						
617	Spectrogram 1	1	48208.257	48209.6494	1.392	0.257	861.8	1419	DS3B__0__20181207_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181207_220355.wav	X			RS	2	02-Jan	No						
618	Spectrogram 1	1	48392.116	48394.4725	2.357	184.116	64.8	952.5	DS3B__0__20181207_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181207_220355.wav	Y	bark	"good, 2x bark"	RS	3	2	No		"good, 2x bark"				
620	Spectrogram 1	1	48597.502	48607.4849	9.983	127.502	51.8	816.4	DS3B__0__20181208_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181208_020355.wav	Y	"bark, yelp"	thought I'm not so sure which one is bark	RS	3	series	No						
621	Spectrogram 1	1	48736.542	48738.3415	1.8	4.542	110.2	660.9	DS3B__0__20181208_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181208_040355.wav	X		super faint signal	RS	2	1	No		super faint signal				
623	Spectrogram 1	1	49046.676	49047.8329	1.157	52.676	129.6	738.7	DS3B__0__20181209_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181209_020355.wav	Y	bark	in ambient noise	RS	2	1	No						
624	Spectrogram 1	1	49400.246	49401.2957	1.05	144.246	51.8	1211.7	DS3B__0__20181209_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181209_100355.wav	X			RS	3	1	No						
627	Spectrogram 1	1	49754.053	49760.0513	5.998	236.053	116.6	1321.8	DS3B__0__20181209_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181209_140355.wav	Y	bark		RS	3	3	No						
628	Spectrogram 1	1	50014.596	50035.6182	21.022	234.596	25.9	2442.8	DS3B__0__20181209_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181209_200355.wav	Y	"bark, yelp"	Excellent series	RS	3	series	No		"very good, barks-yelps"				
630	Spectrogram 1	1	50044.978	50046.1348	1.157	2.978	285.1	1995.7	DS3B__0__20181209_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181209_220355.wav	Y	bark	good	RS	3	1	No		good				
633	Spectrogram 1	1	50109.001	50118.3626	9.362	67.001	343.4	576.7	DS3B__0__20181209_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181209_220355.wav	X		faint	RS	3	3	No		faint				
636	Spectrogram 1	1	50307.535	50308.6276	1.093	3.535	401.7	764.6	DS3B__0__20181210_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181210_020355.wav	X			RS	2	1	No						
637	Spectrogram 1	1	50779.812	50780.8617	1.05	213.812	64.8	855.3	DS3B__0__20181210_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181210_060355.wav	X	"bark, yelp"	too faint	RS	2	2	No		yelp-bark				
638	Spectrogram 1	1	50755.493	50758.128	2.635	189.493	103.7	816.4	DS3B__0__20181210_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181210_060355.wav	X	"bark, yelp"	Too faint	RS	2	4	No		"2x yelps, 2x barks"				
639	Spectrogram 1	1	51015.562	51016.5689	1.007	187.562	260.2	918.7	DS3B__0__20181210_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181210_120355.wav	X	yelp	yelp	RS	2	No			yelp				
641	Spectrogram 1	1	51147.045	51158.5489	11.504	57.045	58.3	686.8	DS3B__0__20181211_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181211_200355.wav	X	RS	"No barks, but other noise likely from RS"	RS	3	series	No		close up			X	"No barks, but other noise likely from RS"
642	Spectrogram 1	1	51164.368	51181.2918	16.924	74.368	51.8	1704.1	DS3B__0__20181211_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181211_200355.wav	Y	"bark, yelp"	Good series	RS	3	series	No		"very good, yelps-barks"				
643	Spectrogram 1	1	51574.449	51575.413	0.964	222.449	64.8	848.8	DS3B__0__20181212_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181212_080355.wav	X	bark	too faint. I can't hear it	RS	2	1	No					X	"bark, too faint"
645	Spectrogram 1	1	51638.873	51640.544	1.671	24.873	628.5	1321.8	DS3B__0__20181213_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181213_180355.wav	X	yelp	yelp	RS	3	1	No		yelp				
647	Spectrogram 1	1	51977.616	51978.73	1.114	101.616	77.8	686.8	DS3B__0__20181214_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181214_000355.wav	Y	bark	faint and with ambient noise	RS	2	2	No						
649	Spectrogram 1	1	52311.838	52313.209	1.371	173.838	732.2	1043.2	DS3B__0__20181214_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181214_160355.wav	X			RS	3	1	No						
650	Spectrogram 1	1	52372.727	52374.7407	2.014	234.727	64.8	589.6	DS3B__0__20181214_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181214_160355.wav	X	grunt	faint grunts	RS	3	03-Feb	No		faint grunts				
651	Spectrogram 1	1	52406.47	52407.6268	1.157	6.47	797	1224.6	DS3B__0__20181214_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181214_180355.wav	X			RS	3	1	No						
652	Spectrogram 1	1	52790.85	52791.8997	1.05	128.85	84.2	1179.3	DS3B__0__20181215_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181215_020355.wav	Y	bark	faint	RS	3	1	No						
653	Spectrogram 1	1	52976.334	52977.4909	1.157	52.334	90.7	660.9	DS3B__0__20181215_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181215_040355.wav	X			RS	2	1	No						
654	Spectrogram 1	1	53263.992	53265.2345	1.243	77.992	1010.8	1509.7	DS3B__0__20181215_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181215_100355.wav	X		whistle like	RS	2	1	No		whistle like	RS			
655	Spectrogram 1	1	53250.32	53251.8838	1.564	64.32	77.8	447.1	DS3B__0__20181215_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181215_100355.wav	X			RS						RS	Growl		
656	Spectrogram 1	1	53457.155	53458.3118	1.157	9.155	90.7	1017.3	DS3B__0__20181215_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181215_120355.wav	X			RS	3	1	No						
657	Spectrogram 1	1	53773.565	53774.2721	0.707	63.565	58.3	907.5	DS3B__0__20181217_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181217_000355.wav	Y	bark		RS	3	2	No						
