Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	Center Freq (Hz)	Peak Freq (Hz)	Delta Freq (Hz)	Species	Call type	Comments	WH	Quantity	KZ Done?
1343	Spectrogram 1	1	81476.885970000	81476.885970000	187.500	187.500	67653638.220515144052.wav	0.0000	187.500	187.500	0.000	RS	Bark		WH marked		Y
1344	Spectrogram 1	1	81612.917400000	81612.917400000	987.132	987.132	67653638.220515144552.wav	0.0000	984.375	984.375	0.000	RS	Yelp		WH marked		Y
1345	Spectrogram 1	1	81720.618420000	81720.618420000	959.559	959.559	67653638.220515144552.wav	0.0000	960.938	960.938	0.000	RS	Yelp		WH marked		Y
1346	Spectrogram 1	1	81789.025970000	81789.025970000	1113.971	1113.971	67653638.220515144552.wav	0.0000	1113.281	1113.281	0.000	RS	Yelp		WH marked		Y
1347	Spectrogram 1	1	81789.257690000	81789.257690000	176.471	176.471	67653638.220515144552.wav	0.0000	175.781	175.781	0.000	RS	Bark		WH marked		Y
1348	Spectrogram 1	1	81790.749360000	81790.749360000	143.382	148.897	67653638.220515144552.wav	0.0000	140.625	140.625	5.515	RS	Bark		WH marked		Y
1349	Spectrogram 1	1	81791.726910000	81791.726910000	165.441	165.441	67653638.220515144552.wav	0.0000	164.062	164.062	0.000	RS	Bark		WH marked		Y
1350	Spectrogram 1	1	81794.304750000	81794.304750000	165.441	165.441	67653638.220515144552.wav	0.0000	164.062	164.062	0.000	RS	Bark		WH marked		Y
1351	Spectrogram 1	1	81979.692960000	81979.692960000	948.529	948.529	67653638.220515145052.wav	0.0000	949.219	949.219	0.000	RS	Yelp		WH marked		Y
1352	Spectrogram 1	1	81979.866750000	81979.866750000	943.015	943.015	67653638.220515145052.wav	0.0000	937.500	937.500	0.000	RS	Yelp		WH marked		Y
1353	Spectrogram 1	1	93384.310330000	93384.310330000	805.147	805.147	67653638.220515180052.wav	0.0000	808.594	808.594	0.000	RS	Yelp		WH marked		Y
1354	Spectrogram 1	1	53963.440630000	53963.440630000	1136.029	1136.029	67653638.220515065551.wav	0.0000	1136.719	1136.719	0.000	RS	Yelp		WH marked		Y
1355	Spectrogram 1	1	53988.180240000	53988.180240000	369.485	369.485	67653638.220515065551.wav	0.0000	375.000	375.000	0.000	RS	Bark		WH Marked		Y
1356	Spectrogram 1	1	53988.245410000	53988.245410000	1125.000	1125.000	67653638.220515065551.wav	0.0000	1125.000	1125.000	0.000	RS	Yelp		WH marked		Y
1357	Spectrogram 1	1	208593.765300000	208593.765300000	198.529	198.529	67653638.220517020056.wav	0.0000	199.219	199.219	0.000	RS	Bark		WH marked		
