Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	File Offset (s)		KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
521	Spectrogram 1	1	105196.508600000	105197.249800000	718.519	1370.370	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518234205.wav	ST3_Site5_67371018.220518234205.wav	187.5931	510	X	0	2	X	Y		
522	Spectrogram 1	1	105197.274900000	105197.632900000	37.037	1733.333	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518234205.wav	ST3_Site5_67371018.220518234205.wav	188.3594	511	Y	1	0	X	B		
523	Spectrogram 1	1	105200.925800000	105203.262500000	0.000	1955.556	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518234205.wav	ST3_Site5_67371018.220518234205.wav	192.0103	512	Y	4	3	X	BY		
524	Spectrogram 1	1	105203.783900000	105203.997400000	948.148	1525.926	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518234205.wav	ST3_Site5_67371018.220518234205.wav	194.8684	513	X	0	1	X	Y		
525	Spectrogram 1	1	105370.262800000	105370.545400000	859.259	1555.556	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518234705.wav	ST3_Site5_67371018.220518234705.wav	61.3650	514	X	0	1	X	Y		
526	Spectrogram 1	1	105372.674800000	105373.007700000	1059.259	1548.148	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518234705.wav	ST3_Site5_67371018.220518234705.wav	63.7770	515	X	0	1	X	Y		
527	Spectrogram 1	1	105377.015300000	105377.316800000	992.593	1511.111	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518234705.wav	ST3_Site5_67371018.220518234705.wav	68.1175	516	X	0	1	X	Y		
528	Spectrogram 1	1	105387.941900000	105388.758500000	37.037	488.889	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518234705.wav	ST3_Site5_67371018.220518234705.wav	79.0441	517	Y	1	0	X	G		
529	Spectrogram 1	1	105459.344600000	105459.652400000	851.852	1325.926	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518234705.wav	ST3_Site5_67371018.220518234705.wav	150.4468	518	X	0	1	Y	Y		
530	Spectrogram 1	1	105461.970300000	105462.378600000	1162.963	1577.778	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518234705.wav	ST3_Site5_67371018.220518234705.wav	153.0725	519	X	0	1	Y	Y		
531	Spectrogram 1	1	105471.832000000	105472.164900000	896.296	1466.667	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518234705.wav	ST3_Site5_67371018.220518234705.wav	162.9342	520	X	0	1	Y	Y		
532	Spectrogram 1	1	105473.666200000	105474.124700000	629.630	1725.926	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518234705.wav	ST3_Site5_67371018.220518234705.wav	164.7684	521	X	0	1	Y	Y		
533	Spectrogram 1	1	105474.620900000	105475.180000000	622.222	1540.741	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518234705.wav	ST3_Site5_67371018.220518234705.wav	165.7231	522	X	0	1	Y	Y		
534	Spectrogram 1	1	105475.713900000	105476.235200000	770.370	1585.185	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518234705.wav	ST3_Site5_67371018.220518234705.wav	166.8161	523	X	0	1	Y	Y		
535	Spectrogram 1	1	105481.936200000	105482.394800000	674.074	1755.556	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518234705.wav	ST3_Site5_67371018.220518234705.wav	173.0384	524	X	0	1	X	Y		
536	Spectrogram 1	1	105486.999600000	105487.433000000	696.296	1348.148	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518234705.wav	ST3_Site5_67371018.220518234705.wav	178.1018	525	X	0	1	X	Y		
537	Spectrogram 1	1	105511.412300000	105511.676100000	822.222	1437.037	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518234705.wav	ST3_Site5_67371018.220518234705.wav	202.5145	526	X	0	1	X	Y		
538	Spectrogram 1	1	105529.533100000	105529.746700000	659.259	1362.963	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518234705.wav	ST3_Site5_67371018.220518234705.wav	220.6353	527	X	0	1	X	Y		
539	Spectrogram 1	1	105530.802000000	105531.442700000	29.630	1259.259	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518234705.wav	ST3_Site5_67371018.220518234705.wav	221.9042	528	Y	2	2	X	BY		
540	Spectrogram 1	1	105670.826700000	105671.134500000	1014.815	1644.444	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518235205.wav	ST3_Site5_67371018.220518235205.wav	61.8475	529	X	0	1	X	Y		
541	Spectrogram 1	1	105673.458600000	105673.703600000	807.407	1474.074	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518235205.wav	ST3_Site5_67371018.220518235205.wav	64.4794	530	X	0	1	Y	Y		
542	Spectrogram 1	1	106502.112600000	106502.564900000	800.000	1155.556	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519000205.wav	ST3_Site5_67371018.220519000205.wav	293.0814	531	X	0	1	X	Y		
543	Spectrogram 1	1	106504.851300000	106505.134000000	622.222	1088.889	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519000205.wav	ST3_Site5_67371018.220519000205.wav	295.8201	532	X	0	1	X	Y		
544	Spectrogram 1	1	106507.106300000	106507.407800000	703.704	1066.667	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519000205.wav	ST3_Site5_67371018.220519000205.wav	298.0751	533	X	0	1	X	Y		
545	Spectrogram 1	1	106510.204300000	106510.763400000	718.519	1207.407	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519000705.wav	ST3_Site5_67371018.220519000705.wav	1.2073	534	X	0	1	y	Y		
546	Spectrogram 1	1	106513.219400000	106513.866400000	733.333	1214.815	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519000705.wav	ST3_Site5_67371018.220519000705.wav	4.2224	535	X	0	1	X	Y		
547	Spectrogram 1	1	106529.925800000	106530.164400000	1177.778	1348.148	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519000705.wav	ST3_Site5_67371018.220519000705.wav	20.9288	536	X	0	1	X	Y		
548	Spectrogram 1	1	106704.801100000	106705.046100000	762.963	1333.333	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519000705.wav	ST3_Site5_67371018.220519000705.wav	195.8041	537	X	0	1	X	Y		
549	Spectrogram 1	1	107277.346800000	107277.610600000	1348.148	2044.444	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519001705.wav	ST3_Site5_67371018.220519001705.wav	168.2948	538	X	0	1	X	Y		
550	Spectrogram 1	1	107330.178600000	107330.995100000	577.778	1881.481	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519001705.wav	ST3_Site5_67371018.220519001705.wav	221.1266	539	X	0	1	X	Y		
551	Spectrogram 1	1	107332.936100000	107333.451200000	377.778	1829.630	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519001705.wav	ST3_Site5_67371018.220519001705.wav	223.8841	540	X	0	1	X	Y		
552	Spectrogram 1	1	107337.690600000	107337.948100000	1496.296	1948.148	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519001705.wav	ST3_Site5_67371018.220519001705.wav	228.6386	541	X	0	1	X	Y		
553	Spectrogram 1	1	107338.281000000	107338.896600000	570.370	1696.296	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519001705.wav	ST3_Site5_67371018.220519001705.wav	229.2290	542	X	0	1	X	Y		
554	Spectrogram 1	1	107339.631500000	107341.000900000	392.593	1977.778	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519001705.wav	ST3_Site5_67371018.220519001705.wav	230.5795	543	X	0	1	X	Y		
555	Spectrogram 1	1	107342.640300000	107343.871500000	377.778	2237.037	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519001705.wav	ST3_Site5_67371018.220519001705.wav	233.5883	544	X	0	1	X	Y		
556	Spectrogram 1	1	107356.373300000	107357.158400000	474.074	2429.630	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519001705.wav	ST3_Site5_67371018.220519001705.wav	247.3213	545	X	0	1	X	Y		
557	Spectrogram 1	1	107413.911400000	107415.023200000	511.111	1962.963	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002205.wav	ST3_Site5_67371018.220519002205.wav	4.7882	546	X	0	1	X	Y		
558	Spectrogram 1	1	107416.905600000	107417.653100000	548.148	2111.111	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002205.wav	ST3_Site5_67371018.220519002205.wav	7.7824	547	X	0	1	X	Y		
559	Spectrogram 1	1	107422.177200000	107423.182200000	518.519	2192.593	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002205.wav	ST3_Site5_67371018.220519002205.wav	13.0540	548	X	0	1	X	Y		
560	Spectrogram 1	1	107424.193500000	107424.771400000	385.185	1570.370	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002205.wav	ST3_Site5_67371018.220519002205.wav	15.0703	549	X	0	1	X	Y		
561	Spectrogram 1	1	107426.925900000	107428.226200000	548.148	2362.963	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002205.wav	ST3_Site5_67371018.220519002205.wav	17.8027	550	X	0	1	Y	Y		
562	Spectrogram 1	1	107755.109800000	107755.643700000	1162.963	1585.185	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	46.0201	551	X	0	1	X	Y		
563	Spectrogram 1	1	107757.339700000	107757.672600000	933.333	1577.778	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	48.2500	552	X	0	1	X	Y		
564	Spectrogram 1	1	107764.677200000	107765.255100000	1007.407	1600.000	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	55.5875	553	X	0	1	X	Y		
565	Spectrogram 1	1	107767.491100000	107769.055100000	125.926	2325.926	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	58.4014	554	X	0	1	X	Y		
566	Spectrogram 1	1	107775.500000000	107775.851700000	1111.111	1555.556	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	66.4103	555	X	0	1	X	Y		
567	Spectrogram 1	1	107776.015000000	107776.335400000	1281.481	1511.111	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	66.9253	556	X	0	1	X	Y		
568	Spectrogram 1	1	107787.140200000	107787.554800000	1177.778	1585.185	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	78.0505	557	X	0	1	X	Y		
569	Spectrogram 1	1	107790.192000000	107790.393000000	14.815	681.481	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	81.1023	558	Y	1	0	Y	B		
570	Spectrogram 1	1	107794.688100000	107795.033600000	740.741	1311.111	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	85.5984	559	X	0	1	Y	Y		
571	Spectrogram 1	1	107796.644900000	107797.229100000	44.444	614.815	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	87.5552	560	Y	1	0	X	G		
572	Spectrogram 1	1	107797.310700000	107797.492900000	22.222	918.519	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	88.2210	561	Y	1	0	X	B		
573	Spectrogram 1	1	107897.963500000	107898.346700000	666.667	1066.667	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	188.8738	562	X	0	1	X	Y		
574	Spectrogram 1	1	107900.947200000	107901.324100000	659.259	1088.889	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	191.8575	563	X	0	1	X	Y		
575	Spectrogram 1	1	107904.204000000	107904.995400000	703.704	1118.519	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	195.1143	564	X	0	1	X	Y		
576	Spectrogram 1	1	107907.307000000	107907.457800000	637.037	851.852	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	198.2173	565	X	0	1	X	Y		
577	Spectrogram 1	1	107910.680100000	107911.069600000	592.593	940.741	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	201.5904	566	X	0	1	X	Y		
578	Spectrogram 1	1	107917.674900000	107917.976400000	674.074	955.556	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	208.5852	567	X	0	1	X	Y		
579	Spectrogram 1	1	107920.624400000	107920.825400000	725.926	1051.852	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	211.5347	568	X	0	1	X	Y		
580	Spectrogram 1	1	107932.003900000	107932.248900000	0.000	437.037	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	222.9142	569	Y	1	0	X	B		
581	Spectrogram 1	1	107933.272700000	107933.461200000	637.037	962.963	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	224.1830	570	X	0	1	X	Y		
582	Spectrogram 1	1	107933.932300000	107935.226300000	0.000	466.667	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	224.8426	571	Y	1	0	X	G		
583	Spectrogram 1	1	107938.471200000	107938.684700000	585.185	881.481	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	229.3815	572	X	0	1	X	Y		
584	Spectrogram 1	1	107949.195100000	107949.471500000	7.407	1162.963	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	240.1054	573	Y	1	0	Y	B		
585	Spectrogram 1	1	107950.407400000	107950.683800000	0.000	488.889	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	241.3177	574	Y	1	0	Y	B		
586	Spectrogram 1	1	107949.842100000	107949.999200000	622.222	925.926	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	240.7524	575	X	0	1	Y	Y		
587	Spectrogram 1	1	107950.796900000	107951.016700000	562.963	940.741	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	241.7072	576	X	0	1	Y	Y		
588	Spectrogram 1	1	107951.462700000	107952.511700000	0.000	370.370	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	242.3730	577	Y	1	1	Y	BY		
589	Spectrogram 1	1	107964.277500000	107964.629300000	0.000	318.519	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	255.1878	578	Y	1	0	Y	G		
590	Spectrogram 1	1	107967.955000000	107968.294200000	66.667	377.778	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	258.8653	579	Y	1	0	Y	G		
591	Spectrogram 1	1	107977.885700000	107978.520100000	14.815	414.815	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	268.7960	580	Y	1	0	X	G		
592	Spectrogram 1	1	107986.240700000	107986.529700000	1088.889	1429.630	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	277.1510	581	X	0	1	X	Y		
593	Spectrogram 1	1	107987.878900000	107988.193000000	1229.630	1562.963	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	278.7892	582	X	0	1	X	Y		
594	Spectrogram 1	1	107989.348800000	107990.234400000	14.815	325.926	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	280.2591	583	Y	1	0	X	G		
595	Spectrogram 1	1	107990.177900000	107990.642700000	1474.074	1800.000	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	281.0882	584	X	0	1	X	Y		
596	Spectrogram 1	1	107998.448100000	107998.806100000	874.074	1185.185	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	289.3584	585	X	0	1	X	Y		
597	Spectrogram 1	1	108001.073700000	108001.394100000	918.519	1200.000	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519002705.wav	ST3_Site5_67371018.220519002705.wav	291.9840	586	X	0	1	X	Y		
598	Spectrogram 1	1	108163.786100000	108164.131600000	44.444	1140.741	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519003205.wav	ST3_Site5_67371018.220519003205.wav	154.6103	587	X	1	1	Y	BY		
599	Spectrogram 1	1	108164.558700000	108164.753400000	59.259	651.852	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519003205.wav	ST3_Site5_67371018.220519003205.wav	155.3829	588	X	1	0	Y	B		
600	Spectrogram 1	1	108165.186900000	108165.387900000	51.852	607.407	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519003205.wav	ST3_Site5_67371018.220519003205.wav	156.0111	589	Y	1	0	X	B		
601	Spectrogram 1	1	108165.777300000	108166.009700000	0.000	933.333	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519003205.wav	ST3_Site5_67371018.220519003205.wav	156.6015	590	Y	1	0	X	B		
602	Spectrogram 1	1	108166.217000000	108166.719500000	51.852	1266.667	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519003205.wav	ST3_Site5_67371018.220519003205.wav	157.0412	591	Y	1	1	X	BY		
603	Spectrogram 1	1	108168.245900000	108168.402900000	533.333	1207.407	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519003205.wav	ST3_Site5_67371018.220519003205.wav	159.0701	592	Y	1	0	X	B		
604	Spectrogram 1	1	108169.081300000	108169.225800000	570.370	1088.889	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519003205.wav	ST3_Site5_67371018.220519003205.wav	159.9055	593	Y	1	0	X	B		
605	Spectrogram 1	1	108169.433100000	108169.671800000	22.222	1266.667	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519003205.wav	ST3_Site5_67371018.220519003205.wav	160.2573	594	Y	1	0	X	B		
606	Spectrogram 1	1	108170.212000000	108170.488400000	0.000	1459.259	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519003205.wav	ST3_Site5_67371018.220519003205.wav	161.0362	595	Y	1	0	X	B		
607	Spectrogram 1	1	108171.875700000	108175.330500000	0.000	1385.185	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519003205.wav	ST3_Site5_67371018.220519003205.wav	162.6999	596	Y	8	6	X	BY		
608	Spectrogram 1	1	108176.430700000	108177.335200000	37.037	1562.963	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519003205.wav	ST3_Site5_67371018.220519003205.wav	167.2549	597	Y	2	2	X	BY		
609	Spectrogram 1	1	108195.956100000	108202.162100000	74.074	2251.852	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519003205.wav	ST3_Site5_67371018.220519003205.wav	186.7803	598	Y	11	9	X	BY		
610	Spectrogram 1	1	108232.226400000	108232.502800000	822.222	1496.296	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519003205.wav	ST3_Site5_67371018.220519003205.wav	223.0506	599	Y	1	0	X	B		
611	Spectrogram 1	1	108240.660000000	108242.356000000	0.000	2481.481	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519003205.wav	ST3_Site5_67371018.220519003205.wav	231.4842	600	Y	3	4	X	BY		
612	Spectrogram 1	1	108242.720300000	108245.729100000	29.630	2281.481	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519003205.wav	ST3_Site5_67371018.220519003205.wav	233.5445	601	Y	5	4	X	BY		
613	Spectrogram 1	1	108263.815500000	108264.770300000	29.630	2014.815	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519003205.wav	ST3_Site5_67371018.220519003205.wav	254.6397	602	Y	1	2	X	BY	GOOD	
614	Spectrogram 1	1	108265.040400000	108265.561700000	0.000	1600.000	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519003205.wav	ST3_Site5_67371018.220519003205.wav	255.8646	603	Y	1	1	X	BY	GOOD	
615	Spectrogram 1	1	108265.800400000	108266.648400000	66.667	1822.222	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519003205.wav	ST3_Site5_67371018.220519003205.wav	256.6246	604	Y	1	1	X	BY	GOOD	
616	Spectrogram 1	1	108266.849400000	108267.477600000	59.259	1911.111	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519003205.wav	ST3_Site5_67371018.220519003205.wav	257.6736	605	Y	2	1	X	BY	GOOD	
617	Spectrogram 1	1	108736.061700000	108736.526600000	651.852	1207.407	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519004205.wav	ST3_Site5_67371018.220519004205.wav	126.8939	606	X	0	1	X	Y		
618	Spectrogram 1	1	108774.127400000	108774.799500000	755.556	1540.741	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519004205.wav	ST3_Site5_67371018.220519004205.wav	164.9596	607	X	0	1	Y	Y		
619	Spectrogram 1	1	108890.156500000	108890.633900000	59.259	377.778	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519004205.wav	ST3_Site5_67371018.220519004205.wav	280.9887	608	X	1	0	Y	G		
620	Spectrogram 1	1	108917.126500000	108917.459400000	7.407	370.370	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519004705.wav	ST3_Site5_67371018.220519004705.wav	7.9498	609	Y	1	0	X	G		
621	Spectrogram 1	1	109000.965600000	109001.198000000	0.000	659.259	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519004705.wav	ST3_Site5_67371018.220519004705.wav	91.7889	610	Y	1	0	X	B	FAINT	
622	Spectrogram 1	1	109002.071100000	109002.391500000	22.222	570.370	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519004705.wav	ST3_Site5_67371018.220519004705.wav	92.8944	611	Y	1	0	X	G	FAINT	
623	Spectrogram 1	1	109002.642700000	109003.007000000	29.630	562.963	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519004705.wav	ST3_Site5_67371018.220519004705.wav	93.4660	612	Y	1	0	X	G	FAINT	
624	Spectrogram 1	1	109050.760700000	109051.030800000	51.852	762.963	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519004705.wav	ST3_Site5_67371018.220519004705.wav	141.5840	613	Y	1	0	Y	B		
625	Spectrogram 1	1	109052.274500000	109052.569700000	22.222	651.852	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519004705.wav	ST3_Site5_67371018.220519004705.wav	143.0978	614	Y	1	0	Y	B		
626	Spectrogram 1	1	109114.563700000	109114.752200000	696.296	1125.926	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519004705.wav	ST3_Site5_67371018.220519004705.wav	205.3870	615	X	0	1	X	Y		
627	Spectrogram 1	1	109300.284400000	109300.636100000	585.185	1074.074	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519005205.wav	ST3_Site5_67371018.220519005205.wav	91.0439	616	X	0	1	Y	Y		
628	Spectrogram 1	1	109385.369200000	109386.179500000	540.741	1733.333	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519005205.wav	ST3_Site5_67371018.220519005205.wav	176.1287	617	X	0	2	X	Y		
629	Spectrogram 1	1	109754.261300000	109754.587900000	940.741	1718.519	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519005705.wav	ST3_Site5_67371018.220519005705.wav	245.0173	618	X	0	1	X	Y		
630	Spectrogram 1	1	109926.893800000	109929.211600000	0.000	400.000	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519010205.wav	ST3_Site5_67371018.220519010205.wav	117.5700	619	Y	1	0	Y	G		
631	Spectrogram 1	1	110215.952700000	110216.511700000	859.259	1444.444	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519010705.wav	ST3_Site5_67371018.220519010705.wav	106.6537	620	X	0	1	X	Y		
632	Spectrogram 1	1	110219.683800000	110220.456400000	755.556	1518.519	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519010705.wav	ST3_Site5_67371018.220519010705.wav	110.3848	621	X	0	1	X	Y		
633	Spectrogram 1	1	110309.964500000	110311.201900000	0.000	474.074	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519010705.wav	ST3_Site5_67371018.220519010705.wav	200.6655	622	Y	1	0	X	G		
634	Spectrogram 1	1	110312.012200000	110312.345100000	14.815	437.037	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519010705.wav	ST3_Site5_67371018.220519010705.wav	202.7132	623	Y	1	0	X	G		
635	Spectrogram 1	1	110436.693100000	110437.936800000	0.000	525.926	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519011205.wav	ST3_Site5_67371018.220519011205.wav	27.3199	624	Y	1	0	X	G		
636	Spectrogram 1	1	110549.410700000	110549.819000000	1222.222	1696.296	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519011205.wav	ST3_Site5_67371018.220519011205.wav	140.0375	625	X	0	1	Y	Y		
637	Spectrogram 1	1	110793.922200000	110795.046500000	0.000	437.037	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519011705.wav	ST3_Site5_67371018.220519011705.wav	84.5724	626	Y	1	0	X	G		
638	Spectrogram 1	1	110795.812900000	110796.528900000	0.000	370.370	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519011705.wav	ST3_Site5_67371018.220519011705.wav	86.4631	627	Y	1	0	X	G		
639	Spectrogram 1	1	110896.475500000	110896.714200000	1014.815	1266.667	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519011705.wav	ST3_Site5_67371018.220519011705.wav	187.1257	628	X	0	1	X	Y		
640	Spectrogram 1	1	110899.440300000	110899.603700000	1029.630	1311.111	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519011705.wav	ST3_Site5_67371018.220519011705.wav	190.0905	629	X	0	1	Y	Y		
